               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.021894,            0.012878,          0.00052651,             0.86588,             0.77484,              0.7609,             0.39371,            0.026287,           0.0069211,          0.00058341,             0.00703,             0.00703,             0.00703
                 122,            0.022541,            0.012933,          0.00054241,             0.90852,             0.79463,             0.80618,             0.45045,            0.023951,           0.0066344,          0.00061083,           0.0070053,           0.0070053,           0.0070053
                 123,             0.02144,            0.012715,           0.0005729,             0.92508,             0.74091,              0.7975,             0.47802,            0.023295,           0.0064196,           0.0006156,           0.0069805,           0.0069805,           0.0069805
                 124,            0.022031,            0.012419,          0.00052398,             0.88234,                0.78,             0.80147,             0.43356,             0.02435,           0.0062459,          0.00060854,           0.0069558,           0.0069558,           0.0069558
                 125,            0.024226,            0.012493,          0.00047751,             0.85025,             0.79495,             0.80697,             0.51799,             0.02245,           0.0060985,          0.00059772,            0.006931,            0.006931,            0.006931
                 126,            0.024993,             0.01236,          0.00051488,             0.90258,                0.78,             0.80946,             0.48483,            0.023977,           0.0057939,          0.00058436,           0.0069063,           0.0069063,           0.0069063
                 127,            0.023517,            0.012347,          0.00058788,             0.88732,                 0.8,             0.80436,             0.52878,            0.022205,           0.0057318,          0.00056486,           0.0068815,           0.0068815,           0.0068815
                 128,            0.023022,            0.012875,          0.00050291,             0.89306,              0.8352,             0.82313,             0.52473,            0.022017,           0.0056191,          0.00055962,           0.0068568,           0.0068568,           0.0068568
                 129,             0.01898,            0.013355,          0.00045165,             0.89144,             0.82118,             0.83028,             0.50071,            0.023268,           0.0053258,          0.00051599,            0.006832,            0.006832,            0.006832
                 130,            0.022016,            0.013141,          0.00052371,             0.87451,             0.83629,             0.83821,             0.50938,            0.021549,           0.0054607,          0.00049725,           0.0068073,           0.0068073,           0.0068073
                 131,             0.02282,              0.0117,          0.00049474,             0.85536,                0.82,             0.83658,             0.51857,            0.022583,           0.0053621,          0.00050097,           0.0067825,           0.0067825,           0.0067825
                 132,            0.019577,            0.011271,          0.00050171,             0.89804,                0.74,             0.79923,             0.48322,             0.02289,           0.0058184,          0.00048656,           0.0067577,           0.0067577,           0.0067577
                 133,            0.026075,            0.011603,          0.00056399,             0.86688,                0.78,             0.80345,             0.50941,            0.021837,           0.0056641,          0.00048275,            0.006733,            0.006733,            0.006733
                 134,            0.018087,            0.011249,          0.00054577,             0.91366,                0.78,             0.83644,             0.51282,            0.021214,           0.0056912,          0.00048656,           0.0067082,           0.0067082,           0.0067082
                 135,            0.020462,             0.01248,          0.00059988,             0.85406,              0.8193,             0.82814,             0.53535,            0.020116,           0.0057644,          0.00046916,           0.0066835,           0.0066835,           0.0066835
                 136,            0.016517,             0.01046,          0.00045349,             0.92171,                0.78,             0.84109,             0.49737,            0.021113,           0.0056694,          0.00046024,           0.0066587,           0.0066587,           0.0066587
                 137,            0.027108,            0.010623,          0.00062376,             0.89974,                0.78,              0.8356,             0.53316,            0.020999,           0.0057253,          0.00044723,            0.006634,            0.006634,            0.006634
                 138,            0.024225,            0.012542,          0.00058252,              0.9044,             0.75691,             0.77564,             0.45329,            0.020579,           0.0062409,          0.00045629,           0.0066092,           0.0066092,           0.0066092
                 139,            0.025141,            0.012648,          0.00055781,             0.87895,                0.76,             0.80354,               0.501,            0.019956,           0.0064059,          0.00045357,           0.0065845,           0.0065845,           0.0065845
                 140,            0.026116,            0.014138,          0.00055243,             0.92652,                0.76,             0.83785,             0.49826,              0.0199,           0.0062316,          0.00046067,           0.0065598,           0.0065598,           0.0065598
                 141,            0.022372,            0.011814,           0.0005356,             0.90069,             0.72566,             0.81651,             0.51098,            0.019646,           0.0065858,          0.00046825,            0.006535,            0.006535,            0.006535
